Date,Price
09/01/2025,"2,644.15"
08/01/2025,"2,620.15"
07/01/2025,"2,565.55"
06/01/2025,"2,601.65"
05/01/2025,"2,446.40"
04/01/2025,"2,397.50"
03/01/2025,"2,536.75"
02/01/2025,"2,608.05"
01/01/2025,"2,595.30"
12/01/2024,"2,556.50"
11/01/2024,"2,601.00"
10/01/2024,"2,625.00"
09/01/2024,"2,610.00"
08/01/2024,"2,447.00"
07/01/2024,"2,290.50"
06/01/2024,"2,524.50"
05/01/2024,"2,652.50"
04/01/2024,"2,591.50"
03/01/2024,"2,337.00"
02/01/2024,"2,228.00"
01/01/2024,"2,280.00"
12/01/2023,"2,384.00"
11/01/2023,"2,193.00"
10/01/2023,"2,251.50"
09/01/2023,"2,347.00"
08/01/2023,"2,208.00"
07/01/2023,"2,282.50"
06/01/2023,"2,151.50"
05/01/2023,"2,246.00"
04/01/2023,"2,356.00"
03/01/2023,"2,413.00"
02/01/2023,"2,373.00"
01/01/2023,"2,644.00"
12/01/2022,"2,378.00"
11/01/2022,"2,477.50"
10/01/2022,"2,222.00"
09/01/2022,"2,162.00"
08/01/2022,"2,359.00"
07/01/2022,"2,488.50"
06/01/2022,"2,445.50"
05/01/2022,"2,787.00"
04/01/2022,"3,052.50"
03/01/2022,"3,491.00"
02/01/2022,"3,368.50"
01/01/2022,"3,021.00"
12/01/2021,"2,807.50"
11/01/2021,"2,625.00"
10/01/2021,"2,716.50"
09/01/2021,"2,858.50"
08/01/2021,"2,718.00"
07/01/2021,"2,590.00"
06/01/2021,"2,523.50"
05/01/2021,"2,483.00"
04/01/2021,"2,397.00"
03/01/2021,"2,212.00"
02/01/2021,"2,154.50"
01/01/2021,"1,977.50"
12/01/2020,"1,979.50"
11/01/2020,"2,045.00"
10/01/2020,"1,848.50"
09/01/2020,"1,765.00"
08/01/2020,"1,800.00"
07/01/2020,"1,713.50"
06/01/2020,"1,619.50"
05/01/2020,"1,548.00"
04/01/2020,"1,494.50"
03/01/2020,"1,526.00"
02/01/2020,"1,694.50"
01/01/2020,"1,722.00"
12/01/2019,"1,810.00"
11/01/2019,"1,770.00"
10/01/2019,"1,755.00"
09/01/2019,"1,721.50"
08/01/2019,"1,753.00"
07/01/2019,"1,799.00"
06/01/2019,"1,800.00"
05/01/2019,"1,794.50"
04/01/2019,"1,797.00"
03/01/2019,"1,912.00"
02/01/2019,"1,911.00"
01/01/2019,"1,910.00"
12/01/2018,"1,846.00"
11/01/2018,"1,958.00"
10/01/2018,"1,953.50"
09/01/2018,"2,062.00"
08/01/2018,"2,125.00"
07/01/2018,"2,081.00"
06/01/2018,"2,133.00"
05/01/2018,"2,292.00"
04/01/2018,"2,255.00"
03/01/2018,"2,004.50"
02/01/2018,"2,132.00"
01/01/2018,"2,219.50"
12/01/2017,"2,268.00"
11/01/2017,"2,048.00"
10/01/2017,"2,160.00"
09/01/2017,"2,102.00"
08/01/2017,"2,117.00"
07/01/2017,"1,918.00"
06/01/2017,"1,919.00"
05/01/2017,"1,928.00"
04/01/2017,"1,911.50"
03/01/2017,"1,962.50"
02/01/2017,"1,924.00"
01/01/2017,"1,819.00"
12/01/2016,"1,693.00"
11/01/2016,"1,732.00"
10/01/2016,"1,734.00"
09/01/2016,"1,673.00"
08/01/2016,"1,614.00"
07/01/2016,"1,644.00"
06/01/2016,"1,649.00"
05/01/2016,"1,556.00"
04/01/2016,"1,679.00"
03/01/2016,"1,520.00"
02/01/2016,"1,573.00"
01/01/2016,"1,519.00"
12/01/2015,"1,507.00"
11/01/2015,"1,446.00"
10/01/2015,"1,478.50"
