Date,Price
09/01/2025,"9,984.00"
08/01/2025,"9,923.00"
07/01/2025,"9,609.50"
06/01/2025,"9,874.00"
05/01/2025,"9,515.55"
04/01/2025,"9,114.50"
03/01/2025,"9,709.00"
02/01/2025,"9,364.90"
01/01/2025,"9,047.00"
12/01/2024,"8,789.00"
11/01/2024,"9,022.00"
10/01/2024,"9,556.00"
09/01/2024,"9,880.00"
08/01/2024,"9,235.00"
07/01/2024,"9,225.00"
06/01/2024,"9,599.00"
05/01/2024,"10,040.00"
04/01/2024,"9,991.00"
03/01/2024,"8,867.00"
02/01/2024,"8,493.50"
01/01/2024,"8,608.50"
12/01/2023,"8,559.00"
11/01/2023,"8,464.50"
10/01/2023,"8,110.50"
09/01/2023,"8,270.50"
08/01/2023,"8,422.50"
07/01/2023,"8,831.50"
06/01/2023,"8,315.50"
05/01/2023,"8,089.00"
04/01/2023,"8,595.50"
03/01/2023,"8,993.00"
02/01/2023,"8,961.00"
01/01/2023,"9,222.50"
12/01/2022,"8,372.00"
11/01/2022,"8,239.00"
10/01/2022,"7,450.00"
09/01/2022,"7,560.00"
08/01/2022,"7,801.50"
07/01/2022,"7,917.50"
06/01/2022,"8,258.00"
05/01/2022,"9,447.50"
04/01/2022,"9,769.50"
03/01/2022,"10,375.00"
02/01/2022,"9,883.50"
01/01/2022,"9,506.00"
12/01/2021,"9,720.50"
11/01/2021,"9,442.50"
10/01/2021,"9,496.00"
09/01/2021,"8,936.50"
08/01/2021,"9,520.00"
07/01/2021,"9,728.00"
06/01/2021,"9,374.50"
05/01/2021,"10,258.00"
04/01/2021,"9,825.00"
03/01/2021,"8,785.50"
02/01/2021,"9,077.00"
01/01/2021,"7,856.00"
12/01/2020,"7,766.00"
11/01/2020,"7,580.00"
10/01/2020,"6,718.50"
09/01/2020,"6,672.00"
08/01/2020,"6,667.00"
07/01/2020,"6,413.00"
06/01/2020,"6,015.00"
05/01/2020,"5,376.50"
04/01/2020,"5,188.50"
03/01/2020,"4,951.00"
02/01/2020,"5,635.00"
01/01/2020,"5,567.00"
12/01/2019,"6,174.00"
11/01/2019,"5,864.00"
10/01/2019,"5,797.00"
09/01/2019,"5,725.00"
08/01/2019,"5,676.00"
07/01/2019,"5,927.00"
06/01/2019,"5,993.00"
05/01/2019,"5,830.00"
04/01/2019,"6,415.00"
03/01/2019,"6,482.50"
02/01/2019,"6,509.00"
01/01/2019,"6,169.00"
12/01/2018,"5,965.00"
11/01/2018,"6,198.00"
10/01/2018,"5,992.00"
09/01/2018,"6,258.00"
08/01/2018,"5,975.00"
07/01/2018,"6,300.00"
06/01/2018,"6,626.00"
05/01/2018,"6,852.00"
04/01/2018,"6,807.00"
03/01/2018,"6,714.00"
02/01/2018,"6,931.00"
01/01/2018,"7,118.00"
12/01/2017,"7,247.00"
11/01/2017,"6,762.00"
10/01/2017,"6,839.00"
09/01/2017,"6,481.00"
08/01/2017,"6,788.00"
07/01/2017,"6,369.00"
06/01/2017,"5,937.00"
05/01/2017,"5,682.00"
04/01/2017,"5,735.50"
03/01/2017,"5,837.50"
02/01/2017,"5,973.00"
01/01/2017,"5,991.00"
12/01/2016,"5,535.50"
11/01/2016,"5,825.00"
10/01/2016,"4,853.00"
09/01/2016,"4,865.00"
08/01/2016,"4,617.00"
07/01/2016,"4,925.00"
06/01/2016,"4,845.00"
05/01/2016,"4,671.00"
04/01/2016,"5,050.00"
03/01/2016,"4,847.00"
02/01/2016,"4,695.00"
01/01/2016,"4,561.00"
12/01/2015,"4,705.00"
11/01/2015,"4,586.00"
10/01/2015,"5,112.00"
