Date,Price
09/01/2025,"3,817.12"
08/01/2025,"3,516.10"
07/01/2025,"3,335.90"
06/01/2025,"3,335.40"
05/01/2025,"3,330.10"
04/01/2025,"3,374.70"
03/01/2025,"3,135.60"
02/01/2025,"2,862.20"
01/01/2025,"2,835.00"
12/01/2024,"2,653.30"
11/01/2024,"2,681.00"
10/01/2024,"2,761.60"
09/01/2024,"2,647.90"
08/01/2024,"2,516.00"
07/01/2024,"2,449.30"
06/01/2024,"2,350.90"
05/01/2024,"2,333.90"
04/01/2024,"2,302.90"
03/01/2024,"2,227.10"
02/01/2024,"2,054.70"
01/01/2024,"2,057.40"
12/01/2023,"2,071.80"
11/01/2023,"2,038.10"
10/01/2023,"1,994.30"
09/01/2023,"1,885.40"
08/01/2023,"1,965.90"
07/01/2023,"2,009.20"
06/01/2023,"1,929.40"
05/01/2023,"1,982.10"
04/01/2023,"2,018.30"
03/01/2023,"2,004.10"
02/01/2023,"1,853.20"
01/01/2023,"1,962.20"
12/01/2022,"1,842.20"
11/01/2022,"1,775.10"
10/01/2022,"1,654.90"
09/01/2022,"1,684.90"
08/01/2022,"1,726.20"
07/01/2022,"1,781.80"
06/01/2022,"1,807.30"
05/01/2022,"1,848.40"
04/01/2022,"1,911.70"
03/01/2022,"1,954.00"
02/01/2022,"1,900.70"
01/01/2022,"1,796.40"
12/01/2021,"1,828.60"
11/01/2021,"1,776.50"
10/01/2021,"1,783.90"
09/01/2021,"1,757.00"
08/01/2021,"1,818.10"
07/01/2021,"1,817.20"
06/01/2021,"1,771.60"
05/01/2021,"1,905.30"
04/01/2021,"1,767.70"
03/01/2021,"1,715.60"
02/01/2021,"1,728.80"
01/01/2021,"1,850.30"
12/01/2020,"1,895.10"
11/01/2020,"1,780.90"
10/01/2020,"1,879.90"
09/01/2020,"1,895.50"
08/01/2020,"1,978.60"
07/01/2020,"1,985.90"
06/01/2020,"1,800.50"
05/01/2020,"1,751.70"
04/01/2020,"1,694.20"
03/01/2020,"1,596.60"
02/01/2020,"1,566.70"
01/01/2020,"1,587.90"
12/01/2019,"1,523.10"
11/01/2019,"1,472.70"
10/01/2019,"1,514.80"
09/01/2019,"1,472.90"
08/01/2019,"1,529.40"
07/01/2019,"1,437.80"
06/01/2019,"1,413.70"
05/01/2019,"1,311.10"
04/01/2019,"1,285.70"
03/01/2019,"1,298.50"
02/01/2019,"1,316.10"
01/01/2019,"1,325.20"
12/01/2018,"1,281.30"
11/01/2018,"1,226.00"
10/01/2018,"1,215.00"
09/01/2018,"1,196.20"
08/01/2018,"1,206.70"
07/01/2018,"1,233.60"
06/01/2018,"1,254.50"
05/01/2018,"1,304.70"
04/01/2018,"1,319.20"
03/01/2018,"1,327.30"
02/01/2018,"1,317.90"
01/01/2018,"1,343.10"
12/01/2017,"1,309.30"
11/01/2017,"1,276.70"
10/01/2017,"1,270.50"
09/01/2017,"1,284.80"
08/01/2017,"1,322.20"
07/01/2017,"1,273.40"
06/01/2017,"1,242.30"
05/01/2017,"1,275.40"
04/01/2017,"1,268.30"
03/01/2017,"1,251.20"
02/01/2017,"1,253.90"
01/01/2017,"1,211.40"
12/01/2016,"1,151.70"
11/01/2016,"1,173.90"
10/01/2016,"1,273.10"
09/01/2016,"1,317.10"
08/01/2016,"1,311.40"
07/01/2016,"1,357.50"
06/01/2016,"1,320.60"
05/01/2016,"1,217.50"
04/01/2016,"1,290.50"
03/01/2016,"1,235.60"
02/01/2016,"1,234.40"
01/01/2016,"1,116.40"
12/01/2015,"1,060.20"
11/01/2015,"1,065.30"
10/01/2015,"1,141.40"
