Date,Price
09/01/2025,"1,995.33"
08/01/2025,"1,997.58"
07/01/2025,"1,973.43"
06/01/2025,"2,047.78"
05/01/2025,"1,967.93"
04/01/2025,"1,958.43"
03/01/2025,"2,016.93"
02/01/2025,"1,994.63"
01/01/2025,"1,955.58"
12/01/2024,"1,955.00"
11/01/2024,"2,085.00"
10/01/2024,"2,041.00"
09/01/2024,"2,114.00"
08/01/2024,"2,053.00"
07/01/2024,"2,083.50"
06/01/2024,"2,224.00"
05/01/2024,"2,273.00"
04/01/2024,"2,217.00"
03/01/2024,"2,055.00"
02/01/2024,"2,059.00"
01/01/2024,"2,158.50"
12/01/2023,"2,068.50"
11/01/2023,"2,123.00"
10/01/2023,"2,085.00"
09/01/2023,"2,171.00"
08/01/2023,"2,218.00"
07/01/2023,"2,149.00"
06/01/2023,"2,099.50"
05/01/2023,"2,012.50"
04/01/2023,"2,148.00"
03/01/2023,"2,107.00"
02/01/2023,"2,104.00"
01/01/2023,"2,136.50"
12/01/2022,"2,293.00"
11/01/2022,"2,193.00"
10/01/2022,"1,973.00"
09/01/2022,"1,908.00"
08/01/2022,"1,950.00"
07/01/2022,"2,034.50"
06/01/2022,"1,907.50"
05/01/2022,"2,182.00"
04/01/2022,"2,260.50"
03/01/2022,"2,416.00"
02/01/2022,"2,387.00"
01/01/2022,"2,244.50"
12/01/2021,"2,304.00"
11/01/2021,"2,275.50"
10/01/2021,"2,384.00"
09/01/2021,"2,092.50"
08/01/2021,"2,256.00"
07/01/2021,"2,382.00"
06/01/2021,"2,274.00"
05/01/2021,"2,193.50"
04/01/2021,"2,152.00"
03/01/2021,"1,974.50"
02/01/2021,"2,052.50"
01/01/2021,"2,024.00"
12/01/2020,"1,994.00"
11/01/2020,"2,070.00"
10/01/2020,"1,820.00"
09/01/2020,"1,824.50"
08/01/2020,"1,972.50"
07/01/2020,"1,879.50"
06/01/2020,"1,774.00"
05/01/2020,"1,673.50"
04/01/2020,"1,635.50"
03/01/2020,"1,741.50"
02/01/2020,"1,848.00"
01/01/2020,"1,879.00"
12/01/2019,"1,927.00"
11/01/2019,"1,936.50"
10/01/2019,"2,158.00"
09/01/2019,"2,135.00"
08/01/2019,"2,017.00"
07/01/2019,"2,010.00"
06/01/2019,"1,932.00"
05/01/2019,"1,805.00"
04/01/2019,"1,925.00"
03/01/2019,"2,017.00"
02/01/2019,"2,151.00"
01/01/2019,"2,112.00"
12/01/2018,"2,021.00"
11/01/2018,"1,971.00"
10/01/2018,"1,924.00"
09/01/2018,"2,036.00"
08/01/2018,"2,078.00"
07/01/2018,"2,154.50"
06/01/2018,"2,410.00"
05/01/2018,"2,458.00"
04/01/2018,"2,320.00"
03/01/2018,"2,395.00"
02/01/2018,"2,502.00"
01/01/2018,"2,612.00"
12/01/2017,"2,487.50"
11/01/2017,"2,470.00"
10/01/2017,"2,414.00"
09/01/2017,"2,485.00"
08/01/2017,"2,394.00"
07/01/2017,"2,334.00"
06/01/2017,"2,292.00"
05/01/2017,"2,120.00"
04/01/2017,"2,249.00"
03/01/2017,"2,340.00"
02/01/2017,"2,257.00"
01/01/2017,"2,371.00"
12/01/2016,"2,016.50"
11/01/2016,"2,365.00"
10/01/2016,"2,065.00"
09/01/2016,"2,123.50"
08/01/2016,"1,904.50"
07/01/2016,"1,823.00"
06/01/2016,"1,788.00"
05/01/2016,"1,700.00"
04/01/2016,"1,805.00"
03/01/2016,"1,705.00"
02/01/2016,"1,753.00"
01/01/2016,"1,718.00"
12/01/2015,"1,793.00"
11/01/2015,"1,647.00"
10/01/2015,"1,695.00"
