Date,Price
09/01/2025,"15,287.63"
08/01/2025,"15,403.88"
07/01/2025,"14,916.88"
06/01/2025,"15,196.13"
05/01/2025,"15,233.88"
04/01/2025,"15,342.50"
03/01/2025,"15,885.50"
02/01/2025,"15,461.88"
01/01/2025,"15,188.00"
12/02/2024,"15,292.00"
11/01/2024,"15,958.00"
10/01/2024,"15,700.00"
09/02/2024,"17,475.00"
08/01/2024,"16,303.00"
07/01/2024,"16,334.00"
06/01/2024,"17,498.00"
05/01/2024,"19,576.00"
04/01/2024,"18,132.00"
03/01/2024,"17,397.00"
02/01/2024,"16,338.00"
01/01/2024,"16,111.00"
12/01/2023,"16,443.00"
11/01/2023,"17,027.00"
10/01/2023,"18,264.00"
09/01/2023,"19,644.00"
08/01/2023,"21,493.70"
07/03/2023,"22,274.70"
06/01/2023,"20,342.80"
05/01/2023,"20,565.70"
04/01/2023,"23,770.00"
03/01/2023,"23,724.90"
02/01/2023,"24,848.30"
01/02/2023,"30,259.30"
12/01/2022,"30,418.20"
11/01/2022,"26,775.20"
10/03/2022,"21,953.90"
09/01/2022,"21,271.30"
08/01/2022,"21,341.20"
07/01/2022,"23,848.90"
06/01/2022,"22,705.50"
05/02/2022,"28,129.50"
04/01/2022,"31,864.40"
03/01/2022,"28,290.90"
02/01/2022,"24,092.70"
01/03/2022,"22,297.70"
12/01/2021,"20,029.00"
11/01/2021,"19,884.00"
10/01/2021,"19,567.20"
09/01/2021,"18,020.00"
08/02/2021,"19,580.90"
07/01/2021,"19,538.40"
06/01/2021,"18,188.30"
05/03/2021,"18,132.70"
04/01/2021,"17,521.30"
03/01/2021,"16,064.00"
02/01/2021,"18,490.10"
01/01/2021,"17,616.60"
12/01/2020,"16,525.90"
11/02/2020,"16,033.00"
10/01/2020,"15,156.00"
09/01/2020,"14,517.00"
08/03/2020,"15,367.00"
07/01/2020,"13,786.00"
06/01/2020,"12,805.00"
05/01/2020,"12,324.00"
04/01/2020,"12,192.00"
03/02/2020,"11,484.00"
02/03/2020,"12,255.00"
01/01/2020,"12,850.00"
12/02/2019,"14,025.00"
11/01/2019,"13,670.00"
10/01/2019,"16,645.00"
09/02/2019,"17,050.00"
08/01/2019,"17,900.00"
07/01/2019,"14,552.50"
06/03/2019,"12,675.00"
05/01/2019,"11,990.00"
04/01/2019,"12,235.00"
03/01/2019,"12,995.00"
02/01/2019,"13,060.00"
01/01/2019,"12,467.50"
12/03/2018,"10,677.50"
11/01/2018,"11,097.50"
10/01/2018,"11,542.50"
09/03/2018,"12,547.50"
08/01/2018,"12,815.00"
07/02/2018,"14,075.00"
06/01/2018,"14,950.00"
05/01/2018,"15,292.50"
04/02/2018,"13,675.00"
03/01/2018,"13,380.00"
02/01/2018,"13,737.50"
01/01/2018,"13,487.50"
12/01/2017,"12,652.50"
11/01/2017,"11,142.50"
10/02/2017,"12,422.50"
09/01/2017,"10,525.00"
08/01/2017,"11,780.00"
07/03/2017,"10,222.50"
06/01/2017,"9,372.50"
05/01/2017,"8,952.50"
04/03/2017,"9,450.00"
03/01/2017,"10,022.50"
02/01/2017,"10,965.00"
01/02/2017,"9,962.50"
12/01/2016,"10,057.50"
11/01/2016,"11,167.50"
10/03/2016,"10,417.50"
09/01/2016,"10,510.00"
08/01/2016,"9,777.50"
07/01/2016,"10,637.50"
06/01/2016,"9,415.00"
05/02/2016,"8,440.00"
04/01/2016,"9,430.00"
03/01/2016,"8,495.00"
02/01/2016,"8,505.00"
01/01/2016,"8,600.00"
12/01/2015,"8,815.00"
11/02/2015,"8,855.00"
10/01/2015,"10,025.00"
