Date,Price
09/01/2025,"1,264.50"
08/01/2025,"1,124.00"
07/01/2025,"1,218.50"
06/01/2025,"1,118.10"
05/01/2025,968.6
04/01/2025,934.4
03/01/2025,"1,000.70"
02/01/2025,911.9
01/01/2025,"1,071.80"
12/01/2024,909.8
11/01/2024,995.5
10/01/2024,"1,111.60"
09/01/2024,"1,000.20"
08/01/2024,963.8
07/01/2024,925.1
06/01/2024,977.9
05/01/2024,905.6
04/01/2024,952.8
03/01/2024,"1,021.50"
02/01/2024,941.4
01/01/2024,996.8
12/01/2023,"1,105.50"
11/01/2023,"1,020.40"
10/01/2023,"1,126.10"
09/01/2023,"1,256.00"
08/01/2023,"1,225.20"
07/01/2023,"1,275.60"
06/01/2023,"1,222.00"
05/01/2023,"1,359.00"
04/01/2023,"1,496.03"
03/01/2023,"1,478.50"
02/01/2023,"1,420.90"
01/01/2023,"1,667.70"
12/01/2022,"1,806.70"
11/01/2022,"1,866.00"
10/01/2022,"1,844.30"
09/01/2022,"2,187.80"
08/01/2022,"2,078.90"
07/01/2022,"2,146.50"
06/01/2022,"1,923.80"
05/01/2022,"2,006.30"
04/01/2022,"2,317.60"
03/01/2022,"2,255.10"
02/01/2022,"2,504.60"
01/01/2022,"2,357.00"
12/01/2021,"1,912.90"
11/01/2021,"1,705.50"
10/01/2021,"1,982.50"
09/01/2021,"1,902.10"
08/01/2021,"2,471.00"
07/01/2021,"2,662.70"
06/01/2021,"2,781.50"
05/01/2021,"2,830.10"
04/01/2021,"2,959.60"
03/01/2021,"2,617.50"
02/01/2021,"2,313.50"
01/01/2021,"2,219.30"
12/01/2020,"2,459.70"
11/01/2020,"2,405.90"
10/01/2020,"2,227.80"
09/01/2020,"2,335.20"
08/01/2020,"2,279.30"
07/01/2020,"2,157.80"
06/01/2020,"1,962.50"
05/01/2020,"1,972.90"
04/01/2020,"1,951.80"
03/01/2020,"2,289.90"
02/01/2020,"2,491.10"
01/01/2020,"2,221.00"
12/01/2019,"1,903.60"
11/01/2019,"1,810.10"
10/01/2019,"1,749.90"
09/01/2019,"1,640.30"
08/01/2019,"1,539.20"
07/01/2019,"1,523.40"
06/01/2019,"1,533.00"
05/01/2019,"1,331.50"
04/01/2019,"1,379.10"
03/01/2019,"1,332.60"
02/01/2019,"1,501.50"
01/01/2019,"1,289.40"
12/01/2018,"1,181.80"
11/01/2018,"1,144.60"
10/01/2018,"1,062.00"
09/01/2018,"1,065.90"
08/01/2018,969.9
07/01/2018,928.6
06/01/2018,945.6
05/01/2018,981.7
04/01/2018,955.8
03/01/2018,938.65
02/01/2018,"1,037.60"
01/01/2018,"1,018.15"
12/01/2017,"1,052.05"
11/01/2017,"1,003.55"
10/01/2017,971
09/01/2017,932.25
08/01/2017,932.25
07/01/2017,877.55
06/01/2017,830.65
05/01/2017,815.95
04/01/2017,826.45
03/01/2017,798.5
02/01/2017,771.7
01/01/2017,755.4
12/01/2016,683.95
11/01/2016,772.65
10/01/2016,619.9
09/01/2016,722.95
08/01/2016,669.95
07/01/2016,710.75
06/01/2016,597.95
05/01/2016,547.35
04/01/2016,628.6
03/01/2016,564.65
02/01/2016,495.65
01/01/2016,499
12/01/2015,562.25
11/01/2015,543.2
10/01/2015,677.65
