Date,Price
09/01/2025,"1,488.60"
08/01/2025,"1,370.50"
07/01/2025,"1,292.90"
06/01/2025,"1,338.80"
05/01/2025,"1,054.90"
04/01/2025,969.40
03/01/2025,"1,027.50"
02/01/2025,937.90
01/01/2025,"1,043.70"
12/01/2024,910.50
11/01/2024,954.10
10/01/2024,999.60
09/01/2024,991.10
08/01/2024,932.20
07/01/2024,986.40
06/01/2024,"1,014.10"
05/01/2024,"1,053.90"
04/01/2024,960.00
03/01/2024,921.10
02/01/2024,892.80
01/01/2024,940.40
12/01/2023,"1,009.20"
11/01/2023,942.90
10/01/2023,951.20
09/01/2023,915.90
08/01/2023,981.20
07/01/2023,965.60
06/01/2023,913.20
05/01/2023,"1,004.80"
04/01/2023,"1,095.60"
03/01/2023,"1,003.10"
02/01/2023,961.60
01/01/2023,"1,027.40"
12/01/2022,"1,082.90"
11/01/2022,"1,040.20"
10/01/2022,927.50
09/01/2022,859.10
08/01/2022,831.60
07/01/2022,891.60
06/01/2022,895.30
05/01/2022,969.30
04/01/2022,940.50
03/01/2022,995.80
02/01/2022,"1,039.80"
01/01/2022,"1,019.90"
12/01/2021,966.20
11/01/2021,929.20
10/01/2021,"1,021.70"
09/01/2021,962.40
08/01/2021,"1,016.90"
07/01/2021,"1,051.50"
06/01/2021,"1,072.90"
05/01/2021,"1,186.60"
04/01/2021,"1,208.70"
03/01/2021,"1,191.50"
02/01/2021,"1,189.30"
01/01/2021,"1,083.40"
12/01/2020,"1,079.20"
11/01/2020,970.50
10/01/2020,852.40
09/01/2020,909.20
08/01/2020,947.40
07/01/2020,925.20
06/01/2020,851.20
05/01/2020,874.80
04/01/2020,810.60
03/01/2020,729.90
02/01/2020,869.90
01/01/2020,966.90
12/01/2019,977.80
11/01/2019,906.00
10/01/2019,939.50
09/01/2019,889.20
08/01/2019,936.90
07/01/2019,883.90
06/01/2019,841.10
05/01/2019,799.60
04/01/2019,897.30
03/01/2019,854.10
02/01/2019,879.80
01/01/2019,830.00
12/01/2018,800.60
11/01/2018,804.80
10/01/2018,847.30
09/01/2018,822.40
08/01/2018,790.40
07/01/2018,849.80
06/01/2018,857.70
05/01/2018,915.00
04/01/2018,909.20
03/01/2018,932.60
02/01/2018,993.10
01/01/2018,"1,009.10"
12/01/2017,938.30
11/01/2017,946.60
10/01/2017,923.90
09/01/2017,915.50
08/01/2017,"1,001.40"
07/01/2017,943.60
06/01/2017,926.40
05/01/2017,953.40
04/01/2017,952.10
03/01/2017,952.40
02/01/2017,"1,034.30"
01/01/2017,999.80
12/01/2016,905.70
11/01/2016,913.30
10/01/2016,982.30
09/01/2016,"1,034.50"
08/01/2016,"1,056.10"
07/01/2016,"1,152.70"
06/01/2016,"1,024.30"
05/01/2016,981.90
04/01/2016,"1,080.00"
03/01/2016,977.50
02/01/2016,934.70
01/01/2016,875.20
12/01/2015,893.20
11/01/2015,833.70
10/01/2015,989.60
