Date,Price
09/01/2025,44.678
08/01/2025,40.723
07/01/2025,37.037
06/01/2025,36.324
05/01/2025,33.334
04/01/2025,32.828
03/01/2025,34.457
02/01/2025,31.496
01/01/2025,32.265
12/01/2024,29.098
11/01/2024,30.835
10/01/2024,32.796
09/01/2024,31.458
08/01/2024,28.865
07/01/2024,28.938
06/01/2024,29.388
05/01/2024,30.44
04/01/2024,26.532
03/01/2024,25.042
02/01/2024,22.885
01/01/2024,23.282
12/01/2023,24.086
11/01/2023,25.293
10/01/2023,22.952
09/01/2023,22.45
08/01/2023,24.812
07/01/2023,25.335
06/01/2023,23.337
05/01/2023,24.135
04/01/2023,25.773
03/01/2023,24.851
02/01/2023,21.72
01/01/2023,24.742
12/01/2022,24.881
11/01/2022,22.603
10/01/2022,19.97
09/01/2022,19.704
08/01/2022,18.657
07/01/2022,21.064
06/01/2022,21.303
05/01/2022,22.785
04/01/2022,24.063
03/01/2022,26.112
02/01/2022,25.087
01/01/2022,22.992
12/01/2021,23.89
11/01/2021,23.324
10/01/2021,24.373
09/01/2021,22.484
08/01/2021,24.523
07/01/2021,26.137
06/01/2021,27.356
05/01/2021,29.326
04/01/2021,27.225
03/01/2021,25.965
02/01/2021,27.862
01/01/2021,27.688
12/01/2020,27.228
11/01/2020,23.464
10/01/2020,24.761
09/01/2020,24.595
08/01/2020,29.744
07/01/2020,25.77
06/01/2020,19.753
05/01/2020,19.473
04/01/2020,15.953
03/01/2020,15.016
02/01/2020,17.57
01/01/2020,19.224
12/01/2019,19.156
11/01/2019,18.378
10/01/2019,19.451
09/01/2019,18.395
08/01/2019,19.567
07/01/2019,17.852
06/01/2019,16.741
05/01/2019,16.187
04/01/2019,16.857
03/01/2019,17.031
02/01/2019,17.71
01/01/2019,18.231
12/01/2018,17.699
11/01/2018,14.18
10/01/2018,14.324
09/01/2018,14.712
08/01/2018,14.517
07/01/2018,15.597
06/01/2018,16.198
05/01/2018,16.503
04/01/2018,16.401
03/01/2018,16.312
02/01/2018,16.407
01/01/2018,17.284
12/01/2017,17.145
11/01/2017,16.445
10/01/2017,16.726
09/01/2017,16.676
08/01/2017,17.541
07/01/2017,16.835
06/01/2017,16.627
05/01/2017,17.443
04/01/2017,17.262
03/01/2017,18.294
02/01/2017,18.469
01/01/2017,17.577
12/01/2016,15.989
11/01/2016,16.454
10/01/2016,17.835
09/01/2016,19.214
08/01/2016,18.675
07/01/2016,20.393
06/01/2016,18.623
05/01/2016,16.018
04/01/2016,17.819
03/01/2016,15.483
02/01/2016,14.918
01/01/2016,14.255
12/01/2015,13.803
11/01/2015,14.072
10/01/2015,15.584
